1,2019/8/9,Liverpool,4,1,Norwich City
2,2019/8/10,West Ham,0,5,Manchester City
3,2019/8/10,Burnley,3,0,Southampton
4,2019/8/10,Bournemouth,1,1,Sheffield Utd
5,2019/8/10,Watford,0,3,Brighton
6,2019/8/10,Crystal Palace,0,0,Everton
7,2019/8/10,Tottenham,3,1,Aston Villa
8,2019/8/11,Leicester City,0,0,Wolves
9,2019/8/11,Newcastle Utd,0,1,Arsenal
10,2019/8/11,Manchester Utd,4,0,Chelsea
11,2019/8/17,Arsenal,2,1,Burnley
12,2019/8/17,Norwich City,3,1,Newcastle Utd
13,2019/8/17,Brighton,1,1,West Ham
14,2019/8/17,Everton,1,0,Watford
15,2019/8/17,Southampton,1,2,Liverpool
16,2019/8/17,Aston Villa,1,2,Bournemouth
17,2019/8/17,Manchester City,2,2,Tottenham
18,2019/8/18,Sheffield Utd,1,0,Crystal Palace
19,2019/8/18,Chelsea,1,1,Leicester City
20,2019/8/19,Wolves,1,1,Manchester Utd
21,2019/8/23,Aston Villa,2,0,Everton
22,2019/8/24,Norwich City,2,3,Chelsea
23,2019/8/24,Sheffield Utd,1,2,Leicester City
24,2019/8/24,Brighton,0,2,Southampton
25,2019/8/24,Watford,1,3,West Ham
26,2019/8/24,Manchester Utd,1,2,Crystal Palace
27,2019/8/24,Liverpool,3,1,Arsenal
28,2019/8/25,Bournemouth,1,3,Manchester City
29,2019/8/25,Tottenham,0,1,Newcastle Utd
30,2019/8/25,Wolves,1,1,Burnley
31,2019/8/31,Southampton,1,1,Manchester Utd
32,2019/8/31,Manchester City,4,0,Brighton
33,2019/8/31,West Ham,2,0,Norwich City
34,2019/8/31,Leicester City,3,1,Bournemouth
35,2019/8/31,Newcastle Utd,1,1,Watford
36,2019/8/31,Chelsea,2,2,Sheffield Utd
37,2019/8/31,Crystal Palace,1,0,Aston Villa
38,2019/8/31,Burnley,0,3,Liverpool
39,2019/9/1,Everton,3,2,Wolves
40,2019/9/1,Arsenal,2,2,Tottenham
41,2019/9/14,Liverpool,3,1,Newcastle Utd
42,2019/9/14,Brighton,1,1,Burnley
43,2019/9/14,Sheffield Utd,0,1,Southampton
44,2019/9/14,Wolves,2,5,Chelsea
45,2019/9/14,Manchester Utd,1,0,Leicester City
46,2019/9/14,Tottenham,4,0,Crystal Palace
47,2019/9/14,Norwich City,3,2,Manchester City
48,2019/9/15,Bournemouth,3,1,Everton
49,2019/9/15,Watford,2,2,Arsenal
50,2019/9/16,Aston Villa,0,0,West Ham
51,2019/9/20,Southampton,1,3,Bournemouth
52,2019/9/21,Leicester City,2,1,Tottenham
53,2019/9/21,Burnley,2,0,Norwich City
54,2019/9/21,Everton,2,2,Sheffield Utd
55,2019/9/21,Manchester City,8,0,Watford
56,2019/9/21,Newcastle Utd,0,0,Brighton
57,2019/9/22,Crystal Palace,1,1,Wolves
58,2019/9/22,West Ham,2,0,Manchester Utd
59,2019/9/22,Chelsea,1,2,Liverpool
60,2019/9/22,Arsenal,3,2,Aston Villa
61,2019/9/28,Sheffield Utd,0,1,Liverpool
62,2019/9/28,Crystal Palace,2,0,Norwich City
63,2019/9/28,Chelsea,2,0,Brighton
64,2019/9/28,Bournemouth,2,2,West Ham
65,2019/9/28,Aston Villa,2,2,Burnley
66,2019/9/28,Wolves,2,0,Watford
67,2019/9/28,Tottenham,2,1,Southampton
68,2019/9/28,Everton,1,3,Manchester City
69,2019/9/29,Leicester City,5,0,Newcastle Utd
70,2019/9/30,Manchester Utd,1,1,Arsenal
71,2019/10/5,Brighton,3,0,Tottenham
72,2019/10/5,Norwich City,1,5,Aston Villa
73,2019/10/5,Liverpool,2,1,Leicester City
74,2019/10/5,Watford,0,0,Sheffield Utd
75,2019/10/5,Burnley,1,0,Everton
76,2019/10/5,West Ham,1,2,Crystal Palace
77,2019/10/6,Manchester City,0,2,Wolves
78,2019/10/6,Southampton,1,4,Chelsea
79,2019/10/6,Arsenal,1,0,Bournemouth
80,2019/10/6,Newcastle Utd,1,0,Manchester Utd
81,2019/10/19,Everton,2,0,West Ham
82,2019/10/19,Wolves,1,1,Southampton
83,2019/10/19,Leicester City,2,1,Burnley
84,2019/10/19,Tottenham,1,1,Watford
85,2019/10/19,Bournemouth,0,0,Norwich City
86,2019/10/19,Aston Villa,2,1,Brighton
87,2019/10/19,Chelsea,1,0,Newcastle Utd
88,2019/10/19,Crystal Palace,0,2,Manchester City
89,2019/10/20,Manchester Utd,1,1,Liverpool
90,2019/10/21,Sheffield Utd,1,0,Arsenal
91,2019/10/25,Southampton,0,9,Leicester City
92,2019/10/26,Manchester City,3,0,Aston Villa
93,2019/10/26,Brighton,3,2,Everton
94,2019/10/26,West Ham,1,1,Sheffield Utd
95,2019/10/26,Watford,0,0,Bournemouth
96,2019/10/26,Burnley,2,4,Chelsea
